Month,Agency,Contact Type,Total
05/01/2023,MTA PD Sworn,Non Physical Contact,0
06/01/2023,NYCT Subway/SIR,Physical Contact,20
06/01/2023,NYCT Subway/SIR,Non Physical Contact,39
06/01/2023,NYCT Bus/MTA Bus,Physical Contact,47
06/01/2023,NYCT Bus/MTA Bus,Non Physical Contact,109
06/01/2023,NYCT Other,Physical Contact,1
06/01/2023,NYCT Other,Non Physical Contact,2
06/01/2023,LIRR,Physical Contact,5
06/01/2023,LIRR,Non Physical Contact,1
06/01/2023,MNR,Physical Contact,2
06/01/2023,MNR,Non Physical Contact,6
06/01/2023,B&T,Physical Contact,0
06/01/2023,B&T,Non Physical Contact,0
06/01/2023,MTA HQ,Physical Contact,0
06/01/2023,MTA HQ,Non Physical Contact,2
06/01/2023,MTA PD Sworn,Physical Contact,2
06/01/2023,MTA PD Sworn,Non Physical Contact,0
07/01/2023,NYCT Subway/SIR,Physical Contact,18
07/01/2023,NYCT Subway/SIR,Non Physical Contact,31
07/01/2023,NYCT Bus/MTA Bus,Physical Contact,32
07/01/2023,NYCT Bus/MTA Bus,Non Physical Contact,87
07/01/2023,NYCT Other,Physical Contact,5
07/01/2023,NYCT Other,Non Physical Contact,0
07/01/2023,LIRR,Physical Contact,3
07/01/2023,LIRR,Non Physical Contact,3
07/01/2023,MNR,Physical Contact,10
07/01/2023,MNR,Non Physical Contact,7
07/01/2023,B&T,Physical Contact,0
07/01/2023,B&T,Non Physical Contact,0
07/01/2023,MTA HQ,Physical Contact,0
07/01/2023,MTA HQ,Non Physical Contact,2
07/01/2023,MTA PD Sworn,Physical Contact,2
07/01/2023,MTA PD Sworn,Non Physical Contact,1
08/01/2023,NYCT Subway/SIR,Physical Contact,31
08/01/2023,NYCT Subway/SIR,Non Physical Contact,42
08/01/2023,NYCT Bus/MTA Bus,Physical Contact,22
08/01/2023,NYCT Bus/MTA Bus,Non Physical Contact,100
08/01/2023,NYCT Other,Physical Contact,3
08/01/2023,NYCT Other,Non Physical Contact,0
08/01/2023,LIRR,Physical Contact,6
08/01/2023,LIRR,Non Physical Contact,3
08/01/2023,MNR,Physical Contact,3
08/01/2023,MNR,Non Physical Contact,1
08/01/2023,B&T,Physical Contact,0
08/01/2023,B&T,Non Physical Contact,1
08/01/2023,MTA HQ,Physical Contact,0
08/01/2023,MTA HQ,Non Physical Contact,2
08/01/2023,MTA PD Sworn,Physical Contact,0
08/01/2023,MTA PD Sworn,Non Physical Contact,0
09/01/2023,NYCT Subway/SIR,Physical Contact,27
09/01/2023,NYCT Subway/SIR,Non Physical Contact,35
09/01/2023,NYCT Bus/MTA Bus,Physical Contact,32
09/01/2023,NYCT Bus/MTA Bus,Non Physical Contact,76
09/01/2023,NYCT Other,Physical Contact,1
09/01/2023,NYCT Other,Non Physical Contact,0
09/01/2023,LIRR,Physical Contact,1
09/01/2023,LIRR,Non Physical Contact,5
09/01/2023,MNR,Physical Contact,7
09/01/2023,MNR,Non Physical Contact,7
09/01/2023,B&T,Physical Contact,0
09/01/2023,B&T,Non Physical Contact,1
09/01/2023,MTA HQ,Physical Contact,0
09/01/2023,MTA HQ,Non Physical Contact,0
09/01/2023,MTA PD Sworn,Physical Contact,8
09/01/2023,MTA PD Sworn,Non Physical Contact,0
10/01/2023,NYCT Subway/SIR,Physical Contact,33
10/01/2023,NYCT Subway/SIR,Non Physical Contact,48
10/01/2023,NYCT Bus/MTA Bus,Physical Contact,36
10/01/2023,NYCT Bus/MTA Bus,Non Physical Contact,99
10/01/2023,NYCT Other,Physical Contact,2
10/01/2023,NYCT Other,Non Physical Contact,4
10/01/2023,LIRR,Physical Contact,6
10/01/2023,LIRR,Non Physical Contact,1
10/01/2023,MNR,Physical Contact,2
10/01/2023,MNR,Non Physical Contact,3
10/01/2023,B&T,Physical Contact,0
10/01/2023,B&T,Non Physical Contact,1
10/01/2023,MTA HQ,Physical Contact,0
10/01/2023,MTA HQ,Non Physical Contact,0
10/01/2023,MTA PD Sworn,Physical Contact,3
10/01/2023,MTA PD Sworn,Non Physical Contact,2
